@relation valence

@attribute id numeric
@attribute aspectlabel string
@attribute unigrams string
@attribute polarity {positive, negative}

@data
0,'target_Sauberkeit','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_Sauberkeit','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_Lage','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',positive
0,'target_Komfort','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',positive
0,'target_Komfort','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_Lage','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',positive
0,'target_Lage','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',positive
0,'target_OTHER','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_OTHER','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_Ausstattung','fine . gym have no equipment need to be upgrade ',negative
0,'target_OTHER','enjoy our stay . comfortable and foot rest . next to elevator ',positive
0,'target_Lage','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',positive
0,'target_Komfort','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',positive
