@relation restaurant#prices

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
13,0.0,0.0,0.0,0.1,1.0,0.0,0.025,0.25,0.0,'target_NULL','For the price, you cannot eat this well in Manhattan ','IN DT NN , PRP MD RB VB DT RB IN NNP . ',10,0,2,0,1,0,0,0,0,0,positive
26,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666667,1.0,0.0,'target_NULL','Service was devine, oysters where a sensual as they come, and the price cant be beat ','NN VBD JJ , NNS WRB DT NN IN PRP VBP , CC DT NN MD RB VB VBN . ',16,1,3,0,0,1,0,0,0,0,positive
132,0.05,0.4,0.0,0.0,1.0,0.0,0.041666666666666664,0.3333333333333333,0.0,'target_NULL','Slightly on the pricey side but worth it ','RB IN DT JJ NN CC JJ PRP . ',8,1,2,0,0,0,0,0,0,1,negative
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','Prices are in line ','NNS VBP IN NN . ',4,0,1,0,0,0,0,0,0,0,neutral
298,0.044444444444444446,0.0,-0.4,0.0,1.0,0.0,0.0,0.0,0.0,'target_NULL','The price is reasonable although the service is poor ','DT NN VBZ JJ IN DT NN VBZ JJ . ',9,0,2,0,0,0,0,0,0,0,positive
328,0.06,0.6,0.0,0.1,1.0,0.0,0.0,0.0,0.0,'target_NULL','They have it all -- great price, food, and service ','PRP VBP PRP DT : JJ NN , NN , CC NN . ',10,0,4,1,0,0,0,0,0,0,positive
350,0.03333333333333333,0.4,0.0,0.08333333333333333,1.0,0.0,0.027777777777777776,0.3333333333333333,0.0,'target_NULL','Yes, the prices are high, but I felt it was worth it ','UH , DT NNS VBP JJ , CC PRP VBD PRP VBD JJ PRP . ',12,0,2,1,0,0,0,0,0,1,negative
397,0.12,0.6,0.0,0.4,1.0,0.0,0.2,1.0,0.0,'target_NULL','Very affordable and excellent ambient ','RB JJ CC JJ NN . ',5,1,2,0,0,0,0,0,0,0,positive
522,0.0,0.0,0.0,-0.2222222222222222,0.0,0.0,-0.1111111111111111,0.0,0.0,'target_resturant','Prices too high for this cramped and unappealing resturant ','NNS RB JJ IN DT NN CC JJ NN . ',9,0,2,0,0,0,0,0,0,0,negative
530,0.022222222222222223,0.4,0.0,0.05555555555555555,1.0,0.0,0.018518518518518517,0.3333333333333333,0.0,'target_NULL','When you add it all together, it just doesnt seem worth it to me especially considering the prices ','WRB PRP VBP PRP DT RB , PRP RB VBZ RB VB JJ PRP IN RB VBG DT NNS . ',18,0,2,0,0,1,0,0,0,0,negative
