@relation positive

@attribute id numeric
@attribute AFINN numeric
@attribute BingLiu numeric
@attribute EmoLex numeric
@attribute currentcategory {Ausstattung, Hotelpersonal, Lage, OTHER, Komfort, Preis-Leistungs-Verhltnis, WLAN, Sauberkeit}
@attribute currentsentence string
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {true, false}

@data
0,0,0,0,Sauberkeit,'need although windows the cleaning or changed to be out , ',0,0,0,0,0,0,false
0,0,0,0,Lage,'excellent location is . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'excellent pressure water is also . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'small space bathroom is very for people 4 potentially . ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'had gym upgraded needs no equipment to be ',0,0,0,0,0,0,false
0,0,0,0,OTHER,'enjoyed stay our . ',0,0,0,0,0,0,true
0,0,0,0,Lage,'close location was to event the attending we were . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'honoured travel you can with pets and request our for fridge a mini in room the for storage medication was at charge no . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'black dated bathroom the was cracked , ',0,0,0,0,0,0,false
0,0,0,0,Sauberkeit,'stained carpet the was but dirty was not turn ( socks my did not get walking dirty on carpet ) . ',1,0,0,0,0,1,false
0,0,0,0,Ausstattung,'has garage parking ceilings low ( $ clearance 6 foot max fit ) vehicles larger so will not and cost is 19 / day . ',1,0,0,0,0,0,false
0,0,0,0,OTHER,'has garage parking ceilings low ( $ clearance 6 foot max fit ) vehicles larger so will not and cost is 19 / day . ',1,0,0,0,0,0,false
0,0,0,0,Hotelpersonal,'was there charge a $ 40 for cleaning room the travel if you with pets told that we were not about until after in check - ',1,0,0,0,0,0,false
0,0,0,0,Ausstattung,'closed bar the / restaurant was went when we have to evening a drink one and are there hours no posted of operation.u ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'closed bar the / restaurant was went when we have to evening a drink one and are there hours no posted of operation.u ',0,0,0,0,0,0,false
0,0,0,0,Lage,'location good , ',0,0,0,0,0,0,true
0,0,0,0,Ausstattung,'hotel old and smell relevant , ',0,0,0,0,0,0,false
0,0,0,0,Sauberkeit,'hotel old and smell relevant , ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'sockets no in room the all at . ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'terrible condition air was . ',0,0,0,0,0,0,false
0,0,0,0,Lage,'montreal great location the was , ',0,0,0,0,0,0,true
0,0,0,0,Lage,'amazing view was and comfortable bed the was enough . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'amazing view was and comfortable bed the was enough . ',0,0,0,0,0,0,true
0,0,0,0,Ausstattung,'outdated hotel the was . ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'old carpet was pretty and dusty vent the was very . ',0,0,0,0,0,0,false
0,0,0,0,Sauberkeit,'old carpet was pretty and dusty vent the was very . ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'need it does updating aesthetically . ',0,0,0,0,0,0,false
0,0,0,0,Hotelpersonal,'sweet housekeeper the was very and did she job a great . ',0,0,0,0,0,0,true
0,0,0,0,Hotelpersonal,'sweet housekeeper the was very and did she job a great . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'were there things some little like lights broken , ',0,0,0,0,0,0,false
0,0,0,0,Sauberkeit,'faucet mildew and drippy . ',0,0,0,0,0,0,false
0,0,0,0,OTHER,'needs hotel the bit a of tlc . ',0,0,0,0,0,0,false
0,0,0,0,OTHER,'experience otherwise a nice . ',0,0,0,0,0,0,true
0,0,0,0,Hotelpersonal,'friendly staff the housekeeping were very and did they job a great ',0,0,0,0,0,0,true
0,0,0,0,Hotelpersonal,'friendly staff the housekeeping were very and did they job a great ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'work tv the did nt . ',0,0,0,0,0,0,false
0,0,0,0,Hotelpersonal,'warm staff the at reception are nt . ',0,0,0,0,0,0,false
0,0,0,0,Hotelpersonal,'staff rude . ',0,0,0,0,0,0,false
0,0,0,0,Hotelpersonal,'gave staff the vibe an unpleasant started that off right bat the . ',0,0,0,0,0,0,false
0,0,0,0,Hotelpersonal,'had receptionist the one female attitude an with me explain because she did nt deposit the room correctly to me and did when all i in return ask was her clarify to something s said she had already , ',0,0,0,0,0,0,false
0,0,0,0,Lage,'stay location good , ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'useful fridge bar in room was very . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'need rooms and furniture updating . ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'need rooms and furniture updating . ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'needs area pool also makeover a . ',0,0,0,0,0,0,false
0,0,0,0,Lage,'stay location good , ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'useful fridge bar in room was very . ',0,0,0,0,0,0,true
0,0,0,0,Komfort,'need rooms and furniture updating . ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'need rooms and furniture updating . ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'needs area pool also makeover a . ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'update maybe colors bit a little more and furniture !!! ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'showing bathrooms are age their . ',0,0,0,0,0,0,false
0,0,0,0,Ausstattung,'time renovate to ! ',0,0,0,0,0,0,false
0,0,0,0,Komfort,'room nice big upgraded on arrival . ',0,0,0,0,0,0,true
